  Pohorelá;Brezno
  Pohronská Polhora;Brezno
  Polomka;Brezno
  Predajná;Brezno
  Ráztoka;Brezno
  Sihla;Brezno
  Šumiac;Brezno
  Telgárt;Brezno
  Valaská;Brezno
  Va¾kovòa;Brezno
  Závadka nad Hronom;Brezno
  Detva;Detva
  Detvianska Huta;Detva
  Dúbravy;Detva
  Hornı Tisovník;Detva
  Hriòová;Detva
  Klokoè;Detva
  Korytárky;Detva
  Kriváò;Detva
  Látky;Detva
  Podkriváò;Detva
  Slatinské Lazy;Detva
  Stará Huta;Detva
  Stook;Detva
  Víg¾aš;Detva
  Víg¾ašská Huta-Kalinka;Detva
  Bzovík;Krupina
  Cerovo;Krupina
  Èabradskı Vrbovok;Krupina
  Èekovce;Krupina
  Devièie;Krupina
  Dolné Mladonice;Krupina
  Dolnı Badín;Krupina
  Domaníky;Krupina
  Dráovce;Krupina
  Drienovo;Krupina
  Dudince;Krupina
  Hontianske Moravce;Krupina
  Hontianske Nemce;Krupina
  Hontianske Tesáre;Krupina
  Horné Mladonice;Krupina
  Hornı Badín;Krupina
  Jalšovík;Krupina
  Kozí Vrbovok;Krupina
  Krá¾ovce-Krnišov;Krupina
  Krupina;Krupina
  Lackov;Krupina
  Ladzany;Krupina
  Lišov;Krupina
  Litava;Krupina
  Medovarce;Krupina
  Rykynèice;Krupina
  Sebechleby;Krupina
  Selce;Krupina
  Senohrad;Krupina
  Sudince;Krupina
  Súdovce;Krupina
  Terany;Krupina
  Trpín;Krupina
  Uòatín;Krupina
  Zemiansky Vrbovok;Krupina
  ibritov;Krupina
  Ábelová;Luèenec
  Belina;Luèenec
  Biskupice;Luèenec
  Bo¾kovce;Luèenec
  Budiná;Luèenec
  Bulhary;Luèenec
  Buzitka;Luèenec
  Èakanovce;Luèenec
  Èamovce;Luèenec
  Divín;Luèenec
  Dobroè;Luèenec
  Fi¾akovo;Luèenec
  Fi¾akovské Kováèe;Luèenec
  Gregorova Vieska;Luèenec
  Haliè;Luèenec
  Holiša;Luèenec
  Jelšovec;Luèenec
  Kalonda;Luèenec
  Kotmanová;Luèenec
  Lehôtka;Luèenec
  Lentvora;Luèenec
  Lipovany;Luèenec
  Lovinobaòa;Luèenec
  ¼uboreè;Luèenec
  Luèenec;Luèenec
  Lupoè;Luèenec
  Mašková;Luèenec
  Mikušovce;Luèenec
  Muèín;Luèenec
  Mıtna;Luèenec
  Nitra nad Ip¾om;Luèenec
  Nové Hony;Luèenec
  Panické Dravce;Luèenec
  Pinciná;Luèenec
  Píla;Luèenec
  Pleš;Luèenec
  Podreèany;Luèenec
  Polichno;Luèenec
  Praha;Luèenec
  Prša;Luèenec
  Radzovce;Luèenec
  Rapovce;Luèenec
  Ratka;Luèenec
  Ruiná;Luèenec
  Stará Haliè;Luèenec
  Šávo¾;Luèenec
  Šiatorská Bukovinka;Luèenec
  Šíd;Luèenec
  Šurice;Luèenec
  Toènica;Luèenec
  Tomášovce;Luèenec
  Trebe¾ovce;Luèenec
  Trenè;Luèenec
  Tuhár;Luèenec
  Ve¾ká nad Ip¾om;Luèenec
  Ve¾ké Dravce;Luèenec
